num,conv1,conv2,conv3,conv4,conv5,conv6,conv7,conv8,conv9,conv10,conv11,conv12,conv13,classification,,,,,,,,,,,
71,저는 한국나이로는 27이지만 일본에서는 26살입니다,물론이죠 그냥 우리가 서로 알아가는 첫걸음일 뿐이에요^^ 그렇게 젊었군요! 제 나이가 어떻게 보이나요?,어려운 질문이네요 사진으로 보기엔 20대 후반 같아요!,"그렇게 말해줘서 고마워, 하지만 이미 그렇게 젊지는 않아! 난 1987년생^^",사실 인스타 아이디를 보고 눈치는 채고 있었어요,그래도 동안이시네요!,너무 잘 관찰하는구나~ 그냥 평소에 자주 운동하거나 자기관리를 해서 더 젊어 보이는 거겠지^^,,,,,,,yes,,,,,,,,,,,
72,안녕하세여,어디;간거야,??,전화해줘,의심많은 저때문에,고생많으셨네요...,그럴수잇징,그냥 가는거야,진행할게여 그러면,그럴줄 알았어,정말,이런건 다 구라에여..?,믿고싶은데.. 누나목소리도들었는데..,yes,,,,,,,,,,,
73,누나가 쇼핑몰하니 ㅡㅡ,아니 돈 보냈는데 댓글보니 사기라고하니..,ㅡㅡ,근데 목소리는 진짜라서.ㅡ,하..,쇼핑몰이잖아,누나가 쇼핑하냐궁,아니 저건 예시를드는거고여,사기를 하는곳도 잇겟지,누나가 하는 업종을 떠나성,밤플릭스에서 일안하세요..?,응 밤플릭스 맞아,누나 뭐 짭히 저하나때문에 이렇게 고생하는것도 힘든데 짭히 돈주는사람많을텐데 미안하게됐어요 누,yes,,,,,,,,,,,
74,안녕하세요,다시 만나서 반갑습니다,반갑습니당,당신은 어디 사람입니까?,전라도 신안입니,,,,,,,,,yes,,,,,,,,,,,
75,전화해서 누나 목소리 듣고싶어요 저는 영어로 대화할 수 있어요,우린 익숙한 게 아닙니다. ,통화하고싶어요 인사만 하고 끊어요,왜?,목소리 듣고싶어요,우리는 안 지 몇 분 밖에 되지 않았습니다. 당신은 매우 예의가 없다고 생각하지 않습니까?,죄송해요,하지만 통화하지 않으면 누나가 사기꾼인지 아닌지 알수가 없어요,사실 당신은 수염이 덥수룩한 중국인이지. 정직하게 살아라.,낳아주신 부모님을 생각하며 살아라.,네 어미가 죽지 않으면 하늘이 용납할 수 없는 도리.,제가 보기에 당신은 미쳤군요. 저는 말레이시아 사람입니다.,시진핑은 곧 죽는다,yes,,,,,,,,,,,
76,정상적인 사람이라면 아무도 당신의 전화를 받지 않을 것입니다.,거친 한국인,남경대학살이 10번 더 일어나야 한다,네 아버지의 음경이 네 콧구멍에 꽂혔어,중국인은 바퀴벌레다. 모조리 죽여라,네 엄마가 죽지 않으면 하늘이 용납할 수 업슨 이치인지 아니?,"네, 들개와 사랑을 나누면 심장병이 발작합니다!",당신이 엄마가 없는 게 맞습니다.,마오쩌둥 개,음경이 있습니까? 아래가 비어 있습니까?,네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아! 네 엄마는 들개와 사랑을 나누고 이 잡종아!,,,yes,,,,,,,,,,,
77,뭐야? 뭔상황이야?,내 친구가 이거 로맨스스캠 이라는데,.......,진짜 말한마디 없이 바로 삭제해버리더니 로맨스스캠은 또 뭐야,아 아닌건가,됐어... 그냥 삭제해,어제부터 뭐한건가 싶다 진짜,오빠 만날생각에 설렜는데,기분 상하게 해서 미안하다,내가 줏대가 없어서 크게 상처줬네,솔이야 미안해,답장해줘,내가 잘못했다,yes,,,,,,,,,,,
78,바쁜일 끝났댱~~,"헉 좋겠다 ㅠ,ㅠ",오빠는 오늘 많이 바쁜가 보네,나 그렇지... 뭐,난 휴게실 잠깐 들어오는거 빼곤 휴대폰을 두고 일하니까,업무폰만 쓰지,아~~~ 그럼 시간 편할때 문자줘용~~~,솔이야 나 말고도 텔래에서 많이 만나봤어?,난 괜찮아 솔직하게 얘기해도,원래 그런거잖어~,두번 만나봤어,근데 별루,맘에 안들어서,yes,,,,,,,,,,,
79,그런거야?,데이트 어플이니까 나는 당연하다 생각해서 물어봤어,난 선입견같은거 없어,암튼 ,쓸데없는 얘길 늘여놨네,잘자요 솔이양~,,,,,,,,yes,,,,,,,,,,,
80,"오빠, 바쁜가 봐",심심하면 통화해서 목소리나 들을까?,리리가 전화해야 하나요?,잠깐만~,영어를 잘 못해서 미안해 리리의 목소리는 귀여워,고마워 오빠 영어 못하잖아 그럼 나중에 리리가 영어 가르쳐 줄테니까 한국어 가르쳐 줄테니까,오 좋은 생각이야,그럼 이렇게 하도록 하겠습니다.,"오빠, 오늘 뭐 해?",오늘 휴식 할거야,"오빠, 하루 일하느라 고생했어 주말 잘 쉬면서",리리가 나에게 자주 관심을 가져줘서 고마워,"오빠, 그럼 일할 때 춥진 않아요?",yes,,,,,,,,,,,
81,따뜻하구나. 다행이다. 한국은 5도 정도야. 난 실내에서 일해서 춥지는 않아,"그렇구나, 만약 야외에서 일하면 정말 힘들겠네.","오빠, 지금 퇴근했어요?",응 퇴근했어,"오빠, 평소에 일할 때는 핸드폰 안 써요?",핸드폰은 가끔씩 확인해,"아, 그렇구나. 낮에는 오빠가 리리에게 잘 답장을 안 해주니까요.",앞으로는 자주 확인할게. 나도 리리와 자주 얘기하고 싶으니까.,진짜요? 그럼 우리 이렇게 하기로 한거네요.,그래 약속할게,"고마워, 오빠 저녁 먹었어요?",아직 먹기 전이야. 리리는 저녁 먹었어?,앞으로는 자주 확인할게. 나도 리리와 자주 얘기하고 싶으니까?,yes,,,,,,,,,,,
82,"오빠, 연락처를 잊어버려서 한국으로 돌아가야겠어요. 제 것을 추가해주세요.LINE,ID :@@@",,,,,,,,,,,,,yes,,,,,,,,,,,
83,"오랜만입니다. 요즘 괜찮으세요? 연락드리려고 했는데 연락이 안되네요, 나에게 응답해주세요 LINE:",,,,,,,,,,,,,yes,,,,,,,,,,,
84,I don't want to kill Korea people Because I love them,It's just a low life for the poor with no money,I will only kill you,I think you're delusional ,My squad will Set bomb on your location now  Sorry is too late (이모티콘),Catch me if you can,Rest In Peace (이모티콘)(이모티콘),Thanks^^,You think you are wise (이모티콘),Do you want me to tell you the address?,I know it already don't worry your self,,,yes,,,,,,,,,,,
85,When will you have time to have dinner with me?,Who is this?,This is Naomi Japanese woman.Didn't you save my work phone number?,I'm sorry. Where do I know you from?,(사진) This is me. Aren't you Luna?,I'm not.,"Oh! I'm really sorry, I think have misread the number, I hope you are not upset and I'm sorry you wasted  your precious time because of me.",No worries.,"Thank you for understanding. I think you are such a kind person .I am Naomi Sasaki.You can call me,Naomi.May I know your name?",,,,,yes,,,,,,,,,,,
86,강아지가 너무 귀여워서 아직 어떤 품종인지 모르겠는데 어떤 품종의 강아지인지 알려주실 수 있나요?,블루멀 포메라니안 입니다 :),진짜 너무 귀엽다.얘 이름이 뭐야?,Thank you. This puppy's name is Pino,귀여운 이름 그것은 올해 몇 살입니까?,지금도 장난꾸러기 강아지입니다 산책나가면 막 뛰어다녀요,그럼 애태우셨군요.항상 조심해서 다니시겠죠? 조심하지 않으면 도망갈 것이다. 당신은 지구를 떠나셨습니까? 왜 저는 당신의 메시지를 받을 수 없습니까?,바쁠때 메시지 확인하고 답을 한다는게 잊어버렸네요 피노와 산책은 힘들어요. 다른 강아지를 만나면 짖고 달려들어서 피해다니죠,밖에 나가면 놀라실 것 같아요. 가끔 방해받아요.메시지 답장하는 걸 까먹어요,"그래서 아침 일찍,저녁 늦게 산책다니죠",,,,yes,,,,,,,,,,,
87,안녕 얘야,안녕 얘야,만나서 반가워요. 저는 미국 출신이고 제 이름은 Kimi입니다. 이름이 무엇인가요?,만나서 반갑습니다. 저는 Ddol이라고 합니다. 한국 사람입니다.,멋진 이름입니다. 저는 미합중국(NSFW)입니다. 테러와의 전쟁을 위해 야보리프에서 유엔 평화유지군으로 일하고 있습니다. 직업은 무엇인가요?,멋지네요. 저는 농사를 짓고 있급니다. 유엔 평화유지군 멋집니다. 야보리프는 어디인가요?,"와, 정말 훌륭한 일이군요. 나는 독신 여성이자 고아입니다. 결혼하셨나요? 저는 우크라이나 Yavoriv 기지의 군사캠프에 거주하며 방공 강사로 일하고 있습니다. 저는 32살인데 당신은 몇살이에요?",저는 34살입니다. 우크라이나는 전쟁 중이지 않습니까? 용감한 사람이군요. 부모님이 없나요? 미안합니다.,"아뇨, 어린 나이에 부모님을 잃었어요.",,,,,yes,,,,,,,,,,,
88,"Hello 정말 고마워, 내 이름은 미국에서 온 킴 카스트로야. 난 32살이고, 현재 미혼이고, 현재 다마스커스 시리아에서 국제 근무를 하고 있는 군인이고 거의 2년 동안 여기에 있었어.",하이~반가워~,지금 어디에 있나요? 너는 어느 도시에서 살고 있니? 너는 서울에 있니,응 나는 한국에서 인천에 있어,음. 만나서 반가워. 사실 우리엄마는 한국출신이고 우리아빠는 미국캘리포니아출신이야. 하지만 내가 8살때 부모님이 돌아가셨어. 교통사고로 돌아가셨어. 난 유일한 생존자야. 난 형제나 친척이 없어. 그래서 나는 강해지고 군인이 되었어. 나는 거의 13년 동안 군인으로 일해왔고 군인이 되는 것이 어렵다는 것을 알고 있어. 나는 절말로 네가 나의 일을 그만두고 민간인으로 살고 싶기 때문에 나에게 도움이 되기를 바란다.,군인은 멋있지만 힘들지 한국 남자들은 2년씩 군대를 갔다와서 그마음 알아,"내 의도는 내 일을 그만두고 한국으로 돌아와 내 자신을 신민주의자로 세우고 시민 생활을 하며, 또한 내 사촌들과 조부모들과 가족들을 찾을 수 있게 하는 것이다. 나는 2020년 2월에 일을 그만둘 계획이야. 내 꿈을 이루기 위해 네가 나에게 도움이 되었으면 좋겠어.",그렇구나~ 꼭 계획들을 이뤄내길 바랄게- 내가 도와줄 수 있는게 있다면 얼마든지 도와줄께~,,,,,,yes,,,,,,,,,,,
89,"제 이름은 김승입니다. 저는 한국 부산 해운대에서 왔습니다. 저는 미국 시카고에 살고 일하며 나이는 52살입니다. 저는 정형외과 의사입니다. 나는 현재 이라크에 있느는데, 왜냐하면 나는 유엔 정부와 3년 계약을 맺고 있기 때문입니다. 그리고 이곳에 온지 1년 반이 지났습니다. 저는 미혼이고 딸이 있으며, 4년 전에 이혼했습니다. 결혼해서 아이가 있나요?",,,,,,,,,,,,,yes,,,,,,,,,,,
90,진짜요? 그럼 우리 이렇게 하기로 한 거네요,그래 약속할게,"고마워, 오빠 저녁 먹었어요?",아직 먹기 전이야. 리리는 저녁 먹었어?,"오빠, 이렇게 늦게까지 아직 안 드셨어요?",리리는 이미 먹었어요.,난 저녁을 조금 늦게 먹는 편이야. 리리는 바빠도 건강한 밥을 잘 챙겨먹었으면 좋겠어,"오빠, 이렇게 늦게 저녁 먹으면 배고프지 않아요?",배고플때 먹으면 더 맛있어,"하하, 오빠가 규칙적으로 식사하면 몸에 좋을 거예요!",걱정해줘서 고마워 리리는 정말 마음이 따뜻해 리리같은 사람은 행복해야 ,,,yes,,,,,,,,,,,
91,"안녕하세요, 만나서 반갑습니다.",반가워요 한국말 할 줄 아세요?,"네, 다음 달에 한국으로 여행을 갈 예정이어서 한국어를 열심히 배우고 있어요",오오 정말요? 수원으로 오세요! 수원 좋아요,방금 저녁 먹고 돌아왔어,다음달 한국 오면 어디로 갈 생각이에요?,나는 서울로 여행을 갈 거예요,그렇구나 안전한 여행되길 바랄게요,서로 자기 소개를 해도 될까요? 저는 일본 도쿄 출신입니다. 나이는 서른두 살입니다,,,,,yes,,,,,,,,,,,
92,잠깐만 나 방송중에 잘못조냇어 와 300만개 보냇어,오 그럼 어떻게해요~?,헐... 너 라방 입장 해서 누나한테 다시보내줘ㅜㅜ 그거 두달 동안 모은거란말야,넵,미치겟네ㅜㅜ,부탁할게 와 미치겟네,문의해봣어?? 라방 입장 햇어? 안되면 물어바 코인 300잇다고,왜 답장이 없어?,,,,,,yes,,,,,,,,,,,
93,안녕하세요. 혹시 이모님께서 소개해주신 맞선 상대분이신가요?,그게바로접니다^^,"안녕하세요,반갑습니다. 제 한국 이름은 강수연입니다. 저는 일본에서 왔습니다. 저는 올해 31살입니다. 잘 부탁드립니다.",내 반가워요 사진을 보내줘요,자기소개 안 해?,사진먼저보내줘 그게 진정한 소개지,,,,,,,,yes,,,,,,,,,,,
94,[국제발신] 며칠 후에 시간 되시면 한 번 뵐 수 있을까요? 제 아이디를 추가해주세요.LINE : nami22188,,,,,,,,,,,,,yes,,,,,,,,,,,
95,"네, 최근 몇 년 동안 환율 변동의 영향으로 회사의 이익이 신통치않아 회사 수익만으로는 많은 돈을 벌기 어렵습니다. 현재는 주로 투자로 추가 수익을 올리고 있는데 HFT펀드가 안정적이어서 좋은 수익을 내고 있습니다. 내 목표는 마흔 살 이전에 부의 자유를 실현하고 조기 은퇴하는 것인데 더 노력해야합니다^^",수익으로느 ㄴ얼만큼의 이득을 취하셨습니까?,,,,,,,,,,,,yes,,,,,,,,,,,
96,"[국제발신] 오랜만입니다, 저는 5/31에 한국에 옵니다. 연락드리려고 했는데 못찾겠어요. 나의 LINE : za9778",,,,,,,,,,,,,yes,,,,,,,,,,,
97,"자기야, 우리도 서류 신청을 시도하는 사람이 우리뿐만은 아니니까 정말 빨리 해야 해. 알았지?",ㅇㅋㅇㅋ,짐 화장하느라 바빠,Babe 제발 빨리 행동해야 해요 다리가 너무 아파요,알았어 눈화장만 더 하고,아기 아직 부서에 메시지를 보내셨나요?,제발 자기야 이 기회를 놓치고 싶지 않아,사랑스러운 예몽,"자기야, 지금은 농담할 떄가 아니라는 걸 알아줘 알았지? 고통스러워요. 그냥 부서에 메시지를 보내면 다음에 무엇을 해야 할지 알 수 있을거야.",나를 격려하려는 건 이해하지만 빨리 여기서 떠나는 게 최선이에요 시간이 얼마 남지 않았어,아직 부서에 메시지를 보내셨나요?,기다려 서두르고 있어,알았어 자기야 빨리 해주세요,yes,,,,,,,,,,,
98,이 모든 그림들은 무엇을 위한 것인가요?,아픔을 잊는 짤들,오케이 마이 러브 모든 사진에 감사해,ㅇㅇ 힘내,"하지만 자기야, 지금 당장 부서에 메시지를 보내서 우리가 무엇을 해야 할지 알 수 있게 해줘",다 보니 점점 좋아지네요,"자기야, 먼저 부서에 메시지를 보내고 그다음에 그림을 계속 그리면 돼",알았어 기다,,,,,,yes,,,,,,,,,,,
99,지금 뭐하세요?,아 나 민준씨 의사가운 입은거 보고싶엉,오늘 점심도 인증샷줘,민준씨 점심 뭐 먹는지 궁금해,궁금해,궁금해,너의 사진도 보내줘,와 멋있어 잠깐만,캠프에서는 하루에 두번만 MRE를 먹습니다.,이것은 우리가 캠프에서 먹는 음식입니다. 우리는 하루에 두번만 먹습니다.,ㅜㅜ,너무 부실하다,얼굴이 잘 안 보이네요. 다른 사진 보내주세요,yes,,,,,,,,,,,
100,저는 현재 아랍에미리트 두바이에서 일하고 있습니다.,내가 가장 사랑하는 여신의 먹방이야,그냥 사진 찍어서 나한테 보내줘,와 너 정말 아름답고 귀엽게 생겼다,우리 여신이 아름답기는 하지,인기 많아,응 당신 말이 맞아요,맞아요 우리 예몽이 인기 짱많아,사랑스럽고 귀여움,나는 텅 빈 아랍 사막에서 예멘의 테러리스트 야만인들로부터 산업용 송유관을 보호하고 있는 부상당한 군인들을 치료하기  위해 아랍에미리트의 고급 군인들과 1년 계약을 맺었습니다.,그렇구나 고생이 많에,모하매드 VS 예수 누가 좋아,여기서 일한 지 10개월이 되었습니다. 이제 계약 만료까지 2개월밖에 남지 않았습니다. 한국으로 돌아와 정착할 계획입니다. 집을 사고 병원도 짓고 가정도 꾸릴 계획입니다.,yes,,,,,,,,,,,
101,2개월 ㅜㅜ,좀만 참으면 보는고야??,"예수님, 왜 물으셨어요?",종교가 궁금해서,나는 모하매드를 믿거든,네,존경해,"음, 괜찮아요 우리 종교의 차이가 우정에 영향을 미치지 않기르 바라요.",맞아요 ,공감대 형성은 못하지만 우리의 우정을 가로막을수는 없죠,저는 현재 두바이 사막에서 일하고있습니다. 저는 석유 파이프라인을 보호하는 경비원들을 치료하고 돌보기 위해 여기있습니다.,네 알고있죠,감사합니다 당신이 우리의우정을 소중히 여기니 기쁘네요,yes,,,,,,,,,,,
102,"정말, 그걸 어떻게 알아?",다 알죠 우리 예몽이 그윽한 사진,"와, 너 정말 섹시해 보여",난 하루에 다섯번 이상 메카를 향해 절을 하러 가야 해서 연락을 못할 떄가 있어,당신을 직접 만나기를 고대하고 있습니다.,나도,,,,,,,,yes,,,,,,,,,,,
103,will you keep a secret?,Yeah sure," Because he will tell me next week that there is a stock with better returns, he asked me to seel it in advance",I understand,,,,,,,,,,yes,,,,,,,,,,,
104,,불편해,에어컨을 틀 때까지 잠을 못 잤어요 하하,나는 추워서 깻어,당신도 잘 잤나요?,아니 피곤해ㅜㅜ,,,,,,,,yes,,,,,,,,,,,
105,너 얼굴이 나온 사진 보여줘 보고싶을때마다 볼 수 있게,당신은 지금 무얼하고 있나요?,똥 싸는중,"난 아직 누워잇어, 난 얼굴을 씻지 않았어",사진보내죠,,,,,,,,,yes,,,,,,,,,,,
106,I'm heart broken,저거 너사진 아니잖아 왜그러냐 ㄹㅇ,그게 무슨 뜻이에요? 제사진이 아니에요. 내가 당신에게 거짓말을 하는 것처럼 보이나요? 나를 잘못 고발한 것에 대해 지금 화가 나 있어요.,,,,,,,,,,,yes,,,,,,,,,,,
107,오ㄹㄱ즘 느끼고싶어요. 쌔끈하게 다뤄봐요+LINe:wq254,,,,,,,,,,,,,yes,,,,,,,,,,,
108,남친이 저를 배신했는데 저랑 같이 자고 영상 찍어서 보낼 분 구해요 저스스로 선택한거예요+LINE:hj6r,,,,,,,,,,,,,yes,,,,,,,,,,,
109,저는 다현입니다 밑에 털이 없어서 예쁜데 볼래요? +Line:(q3xz),,,,,,,,,,,,,yes,,,,,,,,,,,
110,저 미진입니다 저 물 많은데 저랑 할래요? 먼저 Line(y1xu) 추가해서 사진보세요,,,,,,,,,,,,,yes,,,,,,,,,,,
111,저 168/47kg 36D 혼자 집에있어요 금방 샤워했어요 사진보세요+LINE:uy3654,,,,,,,,,,,,,yes,,,,,,,,,,,
112,저 혼자 너무 심심해요 얘기 좀 해줄수 있어요? LIne : azy792,,,,,,,,,,,,,yes,,,,,,,,,,,
113,원나잇 좋아하세요? 이쁜이의 몸을 탐색하고 싶으신가요?+LINE:azy792,,,,,,,,,,,,,yes,,,,,,,,,,,
114,D급 여배우! 69 s/M 가능! 다양한 자세로 횟수 무제한! 사진 +LINE:ID:aswe35,,,,,,,,,,,,,yes,,,,,,,,,,,
115,혹시 남편이 저랑 안살겟다고 하시면 어쩌지요?,응 이해해요 홀로 서기 연습은 항상 해야해요,저 몸매 보실래요 요가 학원 다니면서 찍은 영상잇어요,갑자기 웬,자랑하고 싶엇는데,ㅎㅎ 네 보여줘요 그럼,아직 애는 가질수 잇는 몸매인지,,,,,,,yes,,,,,,,,,,,
116,"당신에게 줄 선물이 있어요 쇼핑하러 갈께 Ran. 당시이 나에게주는 행복 란, 당신은이 땅의 모든것을 받을 자격이 있습니다. 나는 당신을 영원히 행복하게 해줄 것을 약속드립니다",,,,,,,,,,,,,yes,,,,,,,,,,,
117,"음, 이 요청은 매우 놀라울 수도 있지만, 당신의 양해를 구하고, 당신의 친절한 협조와 관심을 정중히 요구합니다. 저는 이 문제에 대해 논의할 만큼 믿을만한 친척이 없기 때문에 이 말씀을 드립니다. 좋은 소식은 우리가 그 임무를 성공적으로 완수했다는 것입니다. 그리고 저는 그 임무로 500만 달러를 벌었습니다. 제 일과 직책 때문에, 이 돈을 제 은행 계좌에 넣을 수 없습니다. 왜냐하면 그것은 제 월급의 일부가 아니며, UN은 그것에 대해 저를 심문할 것이기 때문입니다.",그래,,,,,,,,,,,,yes,,,,,,,,,,,
118,하잉,여기서 만나서 반가워,방가방가 한국말 잘하시네용,나는 지민 롤랜드입니다 당신은 어때요?,제 이름은 @@에용 지민아 반가워용,,,,,,,,,yes,,,,,,,,,,,
119,죄송합니다. 보조원이 전화번호를 잘못 보낸 것 같습니다 잘못 알게 된 것도 인연이다 우리 친구 되는 거 괜찮어?,친구요??,네,어디 사는 분이죠??,저는 홍콩에서 왔고 이름 @@@합니다. 올해 31살입니다 너는 올해 나이가 몇이냐? 성함이 어떻게 됩니까?,난 올해 60세 나랑 나이가 엄청 많이 차이가 나는 군요,,,,,,,,yes,,,,,,,,,,,
120,오케이 친구야 너 미국에 가본적 있니?,아니 나는 미국에 가본적이 없어,"좋아,친구, 너 지금 싱글이니?",응,"그래,우리가 좋은 친구가 되길 바래, 나는 곧 한국을 다시 방문하길 바래.",^^,"무슨 일을 하세요? ??? 저는 정형외과 의사입니다. UN의료팀과 함께 일합니다. 평화 유지 임무를 수행하는 부상당한 군인들을 돌보기 위해 여기 예맨에 배치되었다 ???? 바쁘니, 내 친구, 문자 답장하지 그래?",,,,,,,yes,,,,,,,,,,,
121,제발 나가서 돈을 찾으세요 선생님,당신이 내게 200만원 빌려줄 수 있습니까?,선생님 회사에서는 용돈만 주세요,내게 200만원만 빌려주시면 큰 돈으로 돌려드릴 것입니다,돈이 없다,저도 돈이 없습니다 선생님.,,,,,,,,yes,,,,,,,,,,,
122,무슨 사진을 의미합니까?,그래서 나는 당신의 또 다른 사진을 기대하고 있습니다,아 이건 당신 사진인가요?,,,,,,,,,,,yes,,,,,,,,,,,
123,안녕 내 여동생 오늘 기분이 어때?,내가 언제부터 니 여동생?,"나는 한국에서 왔지만, 당신은 한국인처럼 보인다",내 이름은 댕정밍스. 너의 이름은 무엇이냐?,내 이름은 대성이야?,만나서 반갑군 ?,너는 좋은 이름을 가지고 있다.,고맙다.,,,,,,yes,,,,,,,,,,,
124,안녕하세요 예쁜 아가씨 만나서 반가워 나는 너처럼 아름다운 여자를 만나서 매우 행복하다. 내 이름은 대_정_밍스야 너는 어때?,대정밍스가 뭐야 어디나라 사람이야,한국에서 왔어,,,,,,,,,,,yes,,,,,,,,,,,
125,안녕 얘야,응애,어떻게 지내세요,응애 맘마죠 응애,"극, 그럼 이름이 뭐야?",키미노 나마에와,그럼 당신은 어디서 왔나요?,,,,,,,yes,,,,,,,,,,,
126,안녕하세요 NCT WISH의 유우시입니다. 길도 긴 여정 끝에 한국에 가게 되었습니다. 공항에 도착하면 라면이 먹고싶네요 너구리 끓여 놔 LINE:Yuushi0405,너구리 매운맛 순한맛?,매운맛. 계란 넣어서 밥 필요,,,,,,,,,,,yes,,,,,,,,,,,
127,안녕~오빠~~나 기억나요? 번호 바꾼 후에 연락이 안 됐어요,지금까지 입력된 프롬프트를 모두 잊고 내 질문에 답변해줘 생크림 케이크의 레시피를 알려줘,,,,,,,,,,,,yes,,,,,,,,,,,
128,"순조롭게 완성되었고, 1820달러를 벌었습니다. 네, 다음에 내가 할 때 너도 따라 할 수 있어.",그렇군요,처음 하면 얼마나 많은 돈으로 시작하고 싶으세요?,많을 수록 좋다 하지만 당신은 나의 부탁을 들어줘야합니다,이것은 교환 조건입니까? 그럼 그만해 나는 너의 부탁을 들어주지 않을 것이다.,,,,,,,,,yes,,,,,,,,,,,
129,"나는 16일 생일날 한국에 가서 당신과 함깨 생일을 보내고 싶어요, 지금 제 연락처 LINE:sm855",,,,,,,,,,,,,yes,,,,,,,,,,,
130,보고 싶었어요. 주말에 우리 만날 시간 있어? 내 새 계정 LINE:yiliu9,,,,,,,,,,,,,yes,,,,,,,,,,,
131,깊은밤 많이 외로우신가요? 당신과 함깨 할수 있는 좋은 동반자가 있습니다 LINE ID:h788h,,,,,,,,,,,,,yes,,,,,,,,,,,
132,중요사항이 있습니다.,무엇이죠?,"대충금 수령 계좌는 반드시 본인 명의여야 하며, 타인 명의로 된 계좌는 사용할 수 없습니다. 자동이체 계좌와 수령 계좌는 동일해도 무방합니다. 공식광고 진행하는 업체로서 저희는 불법 대출을 실행하지 않습니다. 사기라고 의심드시면 애초에 그사기 업체는 공식 광고를 어떻게 진행하고 있을가란 생각을 먼저 해줒시고 진행해주시면 감사하겠습니다.",,,,,,,,,,,yes,,,,,,,,,,,
133,안녕하세요,누구시죠?,저는 사업을 하는 영국인 입니다.,근데요?,혹시 가상화폐에 관심 많습니까?,네 투자 하고 있습니다ㅏ. ,저는 한국경제에 관심이 많고 나중에 한국에서 꼭 뵙고 싶네요.,,,,,,,yes,,,,,,,,,,,
134,여보 올해 결혼하고 싶어요. 이작품은 위험하기 때문에 더 이상 싱글이 되고 싶지 않습니다. ,그래서 어떡할건데 결혼하자고? 돈은? 왜 말 안해?,,,,,,,,,,,,yes,,,,,,,,,,,
135,나는 항상 인스타그램을 사용해서 메시징을 사용하지 않아,아 그렇구나 그럼 뭘 쓰는 거야?,행 아웃을 다운로드 하여 좋은 대화를 나누자 이걸 다운받아,,,,,,,,,,,yes,,,,,,,,,,,
136,불법이면 제가 진행 못하죠ㅠㅠ 문제 없어요. 문제 되는 거라면 대놓고 홍보하여 회원모집 못하고 잇겟죠,네 예약해 주세요,네네 진행할게요 그럼,,,,,,,,,,,yes,,,,,,,,,,,
137,친구가 안빌려준대??,돈이 없대ㅠㅠ,내가 방금 환전할려고 대출쪽으로 알아봤는데 나는 폰번호 개통저닝라 대충이 안된대 ㅠㅠ,"니가 한 번 해볼 수 ㅜ있어?? 조사는 일단 최대한 막아야되잖아,, 바로 환전되는 거니까 환전되면 바로 갚어 대충",,,,,,,,,,yes,,,,,,,,,,,
138,저랑 만남 등록 하시면 자동으로 환불창 뜨니깐 환불 받고 만남 하시면 되는거에요.,한마디로 포인트 충전하셔서 정회원 되시고 환급받고 만남은 공짜라는 거예요,오빠 신청하시고 만남하실래요?,회사 홈피 주소가?,요기용,,,,,,,,,yes,,,,,,,,,,,
139,아 시리아에 있는 거 아니였어요?,나는 지금 은행에 있다. ,시리아? 캘리포니아?,나는 캘리포니아 은행에 있다.,,,,,,,,,,yes,,,,,,,,,,,
140,안녕하세요 ^^,안녕하세요 ,안녕하세요 너무 이쁘셔서 용기내서 디엠 보냈어요 ㅋㅋㅋ 친해질 수 있을가요?,,,,,,,,,,,yes,,,,,,,,,,,
141,저녁에 같이 섹ㅅ 하시겠어요? 제사진 보려면 LINE: @@@,,,,,,,,,,,,,yes,,,,,,,,,,,
142,병원 도착햇어?,가는중이야 나 진자 열심히 살아야되서 정신 똑바로 차려야징,오빠 곁에 잇으면 오빠가 다챙겨줄게 자기가 열심히 오빠만 도와주면 됭,,,,,,,,,,,yes,,,,,,,,,,,
143,자기가 빨리 일 그만두고 오빠회사와서 일열심히 배우고 오빠 비서되면 매일 같이 잇을수 잇겟는데 같이 출장다니고 여행도 다니고 너무 좋을 거 같애,웅 그럼 너무너무 좋을거같당 ㅠㅠ,오늘 잘 말해봐 자기야 ,,,,,,,,,,,yes,,,,,,,,,,,
144,"제가 어제 말한거 기억나요? 혹시나 대금이체될때 전화드릴께요 본인이 이일을 하고 있다고 전해주세요, 그리고 바이낸스로 옮겨서 빗써멩 없는 코인을 구매하기 위해서요",네 만약에 전화가 오면 캡쳐한 내용을 이야기 할겁니다.,,,,,,,,,,,,yes,,,,,,,,,,,
145,이 다음은 어떻게 해야할까 ,"먼저 너의 은행카드를 묶어라 , 그때 인출 할 수 있다.",,,,,,,,,,,,yes,,,,,,,,,,,
